Country name,Regional indicator,year,Ladder score,worked hour
Czechia,Central and Eastern Europe,2018,6.711,1785
Czechia,Central and Eastern Europe,2019,6.852,1786
Czechia,Central and Eastern Europe,2020,6.910900116,1677
Czechia,Central and Eastern Europe,2021,6.964700222,1722
Czechia,Central and Eastern Europe,2022,6.919799805,1774
Czechia,Central and Eastern Europe,2023,6.845200062,1766
Denmark,Western Europe,2015,7.527,1407
Denmark,Western Europe,2016,7.526,1412
Denmark,Western Europe,2016,7.526,1412
Denmark,Western Europe,2017,7.521999836,1404
Denmark,Western Europe,2018,7.555,1381
Denmark,Western Europe,2019,7.6,1371
Denmark,Western Europe,2020,7.645599842,1341
Denmark,Western Europe,2020,7.645599842,1341
Denmark,Western Europe,2021,7.61950016,1390
Denmark,Western Europe,2022,7.636199951,1394
Denmark,Western Europe,2023,7.586400032,1380
Denmark,Western Europe,2023,7.586400032,1380
Estonia,Central and Eastern Europe,2015,5.429,1763
Estonia,Central and Eastern Europe,2016,5.517,1767
Estonia,Central and Eastern Europe,2017,5.611000061,1768
Estonia,Central and Eastern Europe,2018,5.739,1707
Estonia,Central and Eastern Europe,2019,5.893,1694
Estonia,Central and Eastern Europe,2020,6.021800041,1637
Estonia,Central and Eastern Europe,2021,6.188799858,1767
Estonia,Central and Eastern Europe,2022,6.340799809,1770
Estonia,Central and Eastern Europe,2023,6.455200195,1742
Finland,Western Europe,2015,7.406,1556
Finland,Western Europe,2016,7.413,1555
Finland,Western Europe,2017,7.468999863,1549
Finland,Western Europe,2018,7.632,1547
Finland,Western Europe,2019,7.769,1537
Finland,Western Europe,2020,7.808700085,1530
Finland,Western Europe,2021,7.842100143,1528
Finland,Western Europe,2022,7.821000099,1514
Finland,Western Europe,2023,7.804200172,1499
France,Western Europe,2015,6.575,1519
France,Western Europe,2016,6.478,1522
France,Western Europe,2017,6.441999912,1508
France,Western Europe,2018,6.489,1514
France,Western Europe,2019,6.592,1518
France,Western Europe,2020,6.663799763,1400
France,Western Europe,2021,6.689899921,1475
France,Western Europe,2022,6.686699867,1501
France,Western Europe,2023,6.661300182,1500
Germany,Western Europe,2015,6.75,1401
Germany,Western Europe,2016,6.994,1395.6
Germany,Western Europe,2016,6.994,1395.6
Germany,Western Europe,2017,6.951000214,1389.1
Germany,Western Europe,2018,6.965,1380.7
Germany,Western Europe,2019,6.985,1373.1
