Country name,Regional indicator,year,Ladder score,worked hour,Total,Male,Female,GDP,GDP Growth (%)
Denmark,Western Europe,2023,7.586400032,1380.0,76.73296,78.7598,74.03636,365000000000.0,2.495184331
Estonia,Central and Eastern Europe,2015,5.429,1763.0,73.19204,76.29252,70.22407,23311847750.0,1.838157048
Estonia,Central and Eastern Europe,2016,5.517,1767.0,72.87132,76.3543,69.53488,24032886890.0,3.093015834
Estonia,Central and Eastern Europe,2017,5.611000061,1768.0,74.1309,76.42003,71.8985,25387061790.0,5.634674322
Estonia,Central and Eastern Europe,2018,5.739,1707.0,74.20325,76.36031,72.06995,26326305510.0,3.69969444
Estonia,Central and Eastern Europe,2019,5.893,1694.0,75.71202,78.36185,73.0897,27307395610.0,3.726653182
Estonia,Central and Eastern Europe,2020,6.021800041,1637.0,72.1944,74.46537,69.89503,26519902190.0,-2.883810041
Estonia,Central and Eastern Europe,2021,6.188799858,1767.0,72.88433,75.28115,70.46931,28417254670.0,7.154447483
Estonia,Central and Eastern Europe,2022,6.340799809,1770.0,76.16721,76.91199,75.41063,28434426600.0,0.060427832
Estonia,Central and Eastern Europe,2023,6.455200195,1742.0,76.52719,77.42867,75.63025,27574843690.0,-3.023035841
Finland,Western Europe,2015,7.406,1556.0,67.76099,68.46046,67.05031,233000000000.0,0.466503518
Finland,Western Europe,2016,7.413,1555.0,68.37727,69.5849,67.14606,239000000000.0,2.571934232
Finland,Western Europe,2017,7.468999863,1549.0,69.0855,70.76922,67.36567,247000000000.0,3.303370161
Finland,Western Europe,2018,7.632,1547.0,71.39706,73.01691,69.74459,250000000000.0,1.19297773
Finland,Western Europe,2019,7.769,1537.0,72.12466,73.57112,70.6444,253000000000.0,1.349738438
Finland,Western Europe,2020,7.808700085,1530.0,69.99878,71.67377,68.27613,247000000000.0,-2.49103621
Finland,Western Europe,2021,7.842100143,1528.0,72.69193,73.63541,71.71642,254000000000.0,2.734713486
Finland,Western Europe,2022,7.821000099,1514.0,74.52251,74.81213,74.22216,258000000000.0,1.450048073
Finland,Western Europe,2023,7.804200172,1499.0,74.633,74.50602,74.76511,255000000000.0,-1.163962815
France,Western Europe,2015,6.575,1519.0,64.80392,67.39877,62.31011,2440000000000.0,1.066754735
France,Western Europe,2016,6.478,1522.0,65.11104,67.85537,62.47522,2460000000000.0,0.860031082
France,Western Europe,2017,6.441999912,1508.0,65.55292,68.72855,62.50399,2510000000000.0,2.083614851
France,Western Europe,2018,6.489,1514.0,66.25162,69.13853,63.48074,2560000000000.0,1.645908729
France,Western Europe,2019,6.592,1518.0,66.13641,68.8052,63.57481,2610000000000.0,2.027446476
France,Western Europe,2020,6.663799763,1400.0,65.40379,67.88059,63.02749,2410000000000.0,-7.44064593
France,Western Europe,2021,6.689899921,1475.0,67.10606,70.01813,64.31276,2580000000000.0,6.882337866
France,Western Europe,2022,6.686699867,1501.0,68.07584,70.83448,65.42323,2650000000000.0,2.570840474
France,Western Europe,2023,6.661300182,1500.0,68.53591,70.94135,66.21981,2670000000000.0,0.936487503
Germany,Western Europe,2015,6.75,1401.0,72.87457,76.77691,68.90658,3420000000000.0,1.652719772
Germany,Western Europe,2016,6.994,1395.6,73.8082,77.43737,70.06751,3500000000000.0,2.294710677
Germany,Western Europe,2017,6.951000214,1389.1,74.4034,78.06524,70.61819,3600000000000.0,2.716024519
Germany,Western Europe,2018,6.965,1380.7,75.05359,78.78252,71.23218,3640000000000.0,1.116443109
Germany,Western Europe,2019,6.985,1373.1,75.63382,79.16279,72.01705,3670000000000.0,0.987893349
Germany,Western Europe,2020,7.075799942,1315.9,74.15275,77.45553,70.76007,3520000000000.0,-4.095137491
Germany,Western Europe,2021,7.154500008,1347.6,75.28163,78.94561,71.52045,3650000000000.0,3.669999862
Germany,Western Europe,2022,7.034100056,1346.8,76.78179,80.46468,73.01642,3700000000000.0,1.369731055
Germany,Western Europe,2023,6.891799927,1342.6,77.22735,80.72485,73.64677,3690000000000.0,-0.26643841
Greece,Western Europe,2015,4.857,1935.0,51.40955,58.67304,42.23317,195000000000.0,-0.228301959
Greece,Western Europe,2016,5.033,1943.0,51.8641,60.71413,42.86901,195000000000.0,-0.031795213
Greece,Western Europe,2017,5.227000237,1947.0,53.49486,61.73527,43.79765,197000000000.0,1.473124985
Greece,Western Europe,2018,5.358,1961.0,54.92304,63.83632,44.65784,201000000000.0,2.064672533
Greece,Western Europe,2019,5.287,1918.0,56.34245,65.18852,46.64719,206000000000.0,2.277180636
Greece,Western Europe,2020,5.514999866,1732.0,55.05078,59.51594,41.63567,187000000000.0,-9.196231471
Greece,Western Europe,2021,5.722599983,1854.0,53.8757,66.07484,47.99891,203000000000.0,8.654497853
Greece,Western Europe,2022,5.948200226,1886.0,60.31124,70.57028,51.15659,215000000000.0,5.74364919
Greece,Western Europe,2023,5.930900097,1897.0,61.30083,71.05322,53.0167,220000000000.0,2.332123883
Hungary,Central and Eastern Europe,2015,4.8,1743.0,64.32932,70.67867,58.13907,125000000000.0,3.707315979
Hungary,Central and Eastern Europe,2016,5.145,1755.0,66.79115,73.16221,60.54822,128000000000.0,2.201001893
Hungary,Central and Eastern Europe,2017,5.323999882,1751.0,68.47628,75.56091,61.51176,133000000000.0,4.271976016
Hungary,Central and Eastern Europe,2018,5.62,1737.0,69.58697,76.59935,62.58296,141000000000.0,5.362348362
Hungary,Central and Eastern Europe,2019,5.758,1729.0,70.23779,77.34474,63.08817,147000000000.0,4.864225735
Hungary,Central and Eastern Europe,2020,6.000400066,1653.0,69.20791,76.65257,61.70463,141000000000.0,-4.487046048
Hungary,Central and Eastern Europe,2021,5.991600037,1682.0,73.15546,78.11646,68.14072,151000000000.0,7.06122061
Hungary,Central and Eastern Europe,2022,6.08589983,1691.0,74.42796,79.01891,69.79737,158000000000.0,4.583407673
Hungary,Central and Eastern Europe,2023,6.041200161,1679.0,74.83332,79.11334,70.49541,156000000000.0,-0.907685956
Iceland,Western Europe,2015,7.561,1511.0,84.9536,87.99194,81.85702,17517210510.0,4.436663719
Iceland,Western Europe,2016,7.501,1520.0,86.93053,89.85617,83.89719,18621440660.0,6.303687107
Iceland,Western Europe,2017,7.504000187,1507.0,85.3623,87.58791,82.99738,19402600560.0,4.194948829
Iceland,Western Europe,2018,7.495,1496.0,85.42886,87.82458,82.86189,20351227270.0,4.889172995
Iceland,Western Europe,2019,7.494,1480.0,83.02212,85.21516,80.68661,20729999820.0,1.861177943
Iceland,Western Europe,2020,7.504499912,1464.0,79.8522,82.42751,80.74393,19291243910.0,-6.940453095
Iceland,Western Europe,2021,7.553899765,1459.0,78.96736,81.68564,74.1225,20304846330.0,5.254209753
Iceland,Western Europe,2022,7.557499886,1459.0,83.58802,85.64344,80.21107,22130761180.0,8.992507613
Iceland,Western Europe,2023,7.529600143,1448.0,84.24085,85.97518,80.83541,23245527330.0,5.03717944
Ireland,Western Europe,2015,6.94,1682.0,65.24232,70.37261,59.38625,302000000000.0,24.61556998
Ireland,Western Europe,2016,6.907,1704.0,66.91659,72.18188,61.36779,306000000000.0,1.22263861
Ireland,Western Europe,2017,6.977000237,1727.0,67.99911,72.98679,62.1553,337000000000.0,10.04962854
Ireland,Western Europe,2018,6.977,1742.0,68.79562,74.07077,63.24559,362000000000.0,7.544341908
Ireland,Western Europe,2019,7.021,1742.0,69.58775,74.86758,63.62249,381000000000.0,5.040550288
Ireland,Western Europe,2020,7.093699932,1620.0,69.6548,69.94077,58.08068,408000000000.0,7.157898831
Ireland,Western Europe,2021,7.085299969,1627.0,66.01393,73.83398,64.44733,474000000000.0,16.25561324
Ireland,Western Europe,2022,7.040800095,1657.0,73.26295,78.73058,68.81522,515000000000.0,8.619503552
Ireland,Western Europe,2023,6.91079998,1633.0,73.93359,78.30282,70.46781,486000000000.0,-5.530007361
Israel,Middle East and North Africa,2015,7.278,1894.0,68.52558,72.21677,64.86387,303000000000.0,2.313510735
Israel,Middle East and North Africa,2016,7.267,1919.0,68.70886,72.21449,65.21725,316000000000.0,4.367283642
Israel,Middle East and North Africa,2017,7.212999821,1918.0,69.11559,72.57602,65.67165,329000000000.0,4.273421788
Israel,Middle East and North Africa,2018,6.814,1911.0,69.03897,71.48927,66.61183,343000000000.0,4.074476006
Israel,Middle East and North Africa,2019,7.139,1895.0,68.78863,71.42741,66.15555,356000000000.0,3.785141452
Israel,Middle East and North Africa,2020,7.128600121,1778.0,65.8316,69.02699,64.4203,351000000000.0,-1.464605643
Israel,Middle East and North Africa,2021,7.157100201,1877.0,68.26804,67.18084,65.72252,383000000000.0,9.343907746
Israel,Middle East and North Africa,2022,7.363800049,1891.0,69.04098,70.42381,68.23885,408000000000.0,6.470371502
Israel,Middle East and North Africa,2023,7.472899914,1880.0,68.75924,71.61022,68.65157,418000000000.0,2.42300691
Italy,Western Europe,2015,5.948,1717.0,56.18124,65.46433,47.01622,1850000000000.0,0.885667638
Italy,Western Europe,2016,5.977,1722.0,57.11644,66.05862,48.27824,1870000000000.0,1.236221107
Italy,Western Europe,2017,5.964000225,1719.0,57.96025,66.83443,49.16493,1900000000000.0,1.603699946
Italy,Western Europe,2018,6.0,1719.0,58.62425,67.70759,49.60294,1910000000000.0,0.826646697
Italy,Western Europe,2019,6.223,1710.0,59.11784,68.00136,50.28524,1920000000000.0,0.429162534
Italy,Western Europe,2020,6.38740015,1543.0,58.79956,66.24151,47.36213,1750000000000.0,-8.86822121
Italy,Western Europe,2021,6.483099937,1686.0,56.68501,67.0136,48.98108,1910000000000.0,8.931062066
Italy,Western Europe,2022,6.466700077,1726.0,59.50554,69.29521,51.18035,2000000000000.0,4.661762651
Italy,Western Europe,2023,6.404500008,1734.0,61.0041,70.40902,52.39051,2010000000000.0,0.697632994
Japan,East Asia,2015,5.987,1719.0,73.46207,81.9703,64.80609,4440000000000.0,1.560626697
Japan,East Asia,2016,5.921,1714.0,74.65979,82.72937,66.423,4480000000000.0,0.753826746
Japan,East Asia,2017,5.920000076,1709.0,75.53326,83.10636,67.80336,4550000000000.0,1.675331752
Japan,East Asia,2018,5.915,1680.0,77.03342,83.93597,69.96432,4580000000000.0,0.643391023
Japan,East Asia,2019,5.886,1644.0,77.9274,84.36195,71.31007,4560000000000.0,-0.402169201
Japan,East Asia,2020,5.870800018,1597.0,77.08547,83.60904,71.48552,4380000000000.0,-4.147118899
Japan,East Asia,2021,5.940499783,1607.0,77.80185,84.08322,71.26009,4490000000000.0,2.559320239
Japan,East Asia,2022,6.038899899,1607.0,78.5432,84.51721,72.01107,4530000000000.0,0.954736938
Japan,East Asia,2023,6.129000187,1611.0,78.89567,84.38101,72.99323,4610000000000.0,1.679019523
Korea,East Asia,2015,5.984,2083.0,65.85446,75.91627,55.84512,1470000000000.0,2.809103268
Korea,East Asia,2016,5.835,2068.0,65.92718,76.02374,56.2154,1510000000000.0,2.946881715
Korea,East Asia,2017,5.837999821,2018.0,66.49532,76.34042,56.91679,1560000000000.0,3.15963574
Korea,East Asia,2018,5.875,1993.0,66.74577,75.71632,57.06176,1600000000000.0,2.907403774
Korea,East Asia,2019,5.895,1967.0,66.6828,75.63244,57.86589,1640000000000.0,2.24397786
Korea,East Asia,2020,5.872399807,1908.0,65.41215,74.41798,56.21133,1630000000000.0,-0.709415359
Korea,East Asia,2021,5.845499992,1910.0,66.41859,75.10104,57.52504,1700000000000.0,4.304734819
Korea,East Asia,2022,5.935100079,1901.0,68.54603,77.01334,59.88116,1740000000000.0,2.612672192
Korea,East Asia,2023,5.951099873,1872.0,69.25953,76.92008,61.40577,1760000000000.0,1.356733243
Latvia,Central and Eastern Europe,2015,5.098,1663.0,68.38374,70.35126,67.21536,26344565870.0,3.78336529
Latvia,Central and Eastern Europe,2016,5.56,1664.0,68.5192,69.10328,67.44186,27016796430.0,2.551685854
Latvia,Central and Eastern Europe,2017,5.849999905,1650.0,70.61099,72.5284,68.95461,27935083670.0,3.398949378
Latvia,Central and Eastern Europe,2018,5.933,1661.0,72.47915,73.06544,70.25124,29139005010.0,4.309710888
Latvia,Central and Eastern Europe,2019,5.94,1631.0,72.80068,74.2809,71.32413,29335802640.0,0.675375257
Latvia,Central and Eastern Europe,2020,5.949999809,1577.0,71.54084,73.24126,70.38556,28318076420.0,-3.469229153
Latvia,Central and Eastern Europe,2021,6.032000065,1601.0,69.69952,71.40206,68.05717,30285399220.0,6.947233162
Latvia,Central and Eastern Europe,2022,6.180399895,1553.0,71.59927,71.82629,70.22939,30834377320.0,1.812682402
Latvia,Central and Eastern Europe,2023,6.21269989,1548.0,71.85909,73.0304,70.54381,31360657010.0,1.70679525
Lithuania,Central and Eastern Europe,2015,5.833,1673.0,67.5029,68.20651,66.84197,41540954810.0,2.832808577
Lithuania,Central and Eastern Europe,2016,5.813,1694.0,69.64642,70.32424,69.00697,42650895970.0,2.671920199
Lithuania,Central and Eastern Europe,2017,5.90199995,1657.0,70.52365,70.70599,70.35054,44618059000.0,4.612243146
Lithuania,Central and Eastern Europe,2018,5.952,1664.0,73.6338,74.42849,72.875,46812540140.0,4.918369795
Lithuania,Central and Eastern Europe,2019,6.149,1665.0,72.97028,73.23001,72.71688,49002127210.0,4.677351558
Lithuania,Central and Eastern Europe,2020,6.215499878,1595.0,71.52729,72.19015,70.62327,49023106990.0,0.042814017
Lithuania,Central and Eastern Europe,2021,6.255400181,1620.0,73.60743,72.28137,71.3722,52150789440.0,6.380016762
Lithuania,Central and Eastern Europe,2022,6.445600033,1624.0,73.15984,73.71487,74.45242,53474128760.0,2.537525009
Lithuania,Central and Eastern Europe,2023,6.763000011,1641.0,73.18578,74.35976,72.46124,53657150680.0,0.342262552
Luxembourg,Western Europe,2015,6.946,1519.0,65.49909,71.22602,59.60256,60071584210.0,2.269784484
Luxembourg,Western Europe,2016,6.871,1518.0,65.22476,69.71438,60.58429,63062062070.0,4.978190437
Luxembourg,Western Europe,2017,6.862999916,1508.0,67.05451,70.06006,63.95551,63892707770.0,1.317187663
Luxembourg,Western Europe,2018,6.91,1499.0,66.97252,70.01951,63.82404,64671765560.0,1.219321919
Luxembourg,Western Europe,2019,7.09,1493.0,67.91789,71.9285,63.7645,66557495890.0,2.915847915
Luxembourg,Western Europe,2020,7.237500191,1408.0,66.70488,70.97395,64.32192,65951935960.0,-0.909829799
Luxembourg,Western Europe,2021,7.324399948,1467.0,69.6333,72.14809,66.48119,70679635850.0,7.168401987
Luxembourg,Western Europe,2022,7.403999805,1459.0,70.12241,73.40586,67.17941,71655146210.0,1.380185891
Luxembourg,Western Europe,2023,7.227900028,1462.0,70.74954,74.01081,66.67985,70870003850.0,-1.095723616
Mexico,Latin America and Caribbean,2015,7.187,2234.0,60.63592,78.17484,44.62405,1210000000000.0,2.702323426
Mexico,Latin America and Caribbean,2016,6.778,2238.0,61.3807,78.79728,45.49387,1230000000000.0,1.772493238
Mexico,Latin America and Caribbean,2017,6.578000069,2238.0,61.07727,78.91824,44.82087,1260000000000.0,1.871728533
Mexico,Latin America and Caribbean,2018,6.488,2238.0,61.67337,79.21713,45.65233,1280000000000.0,1.972082102
Mexico,Latin America and Caribbean,2019,6.595,2228.0,62.35355,78.88771,47.22696,1280000000000.0,-0.392690522
Mexico,Latin America and Caribbean,2020,6.465000153,2207.0,51.39223,65.57486,47.97294,1170000000000.0,-8.354034557
Mexico,Latin America and Caribbean,2021,6.316800117,2216.0,61.11085,77.26492,44.62323,1240000000000.0,6.048483443
Mexico,Latin America and Caribbean,2022,6.127600193,2226.0,62.58561,78.78708,47.07549,1290000000000.0,3.689111093
Mexico,Latin America and Caribbean,2023,6.329500198,2207.0,63.37225,78.99977,49.70469,1330000000000.0,3.199981166
Netherlands,Western Europe,2015,7.378,1437.0,75.81539,80.35137,71.25246,776000000000.0,2.120605224
Netherlands,Western Europe,2016,7.339,1446.0,76.58772,80.90819,72.24838,795000000000.0,2.424285765
Netherlands,Western Europe,2017,7.376999855,1450.0,77.55788,81.77857,73.31908,817000000000.0,2.781546099
Netherlands,Western Europe,2018,7.441,1449.0,78.96278,82.96764,74.94371,835000000000.0,2.258740396
Netherlands,Western Europe,2019,7.488,1451.0,79.78582,83.51421,76.0315,854000000000.0,2.300091595
Netherlands,Western Europe,2020,7.448900223,1404.0,78.94103,82.45799,75.38036,821000000000.0,-3.867953393
Netherlands,Western Europe,2021,7.464000225,1412.0,79.82555,83.38116,76.22765,873000000000.0,6.276830732
Netherlands,Western Europe,2022,7.414899826,1415.0,81.84156,85.54546,78.11207,917000000000.0,5.00723459
Netherlands,Western Europe,2023,7.402999878,1413.0,82.48063,86.12862,78.8119,917000000000.0,0.074560722
New Zealand,North America and ANZ,2015,7.286,1753.0,74.16473,78.82878,68.5279,178000000000.0,3.734035773
New Zealand,North America and ANZ,2016,7.334,1754.0,76.32677,80.9531,70.65962,185000000000.0,3.748311452
New Zealand,North America and ANZ,2017,7.31400013,1756.0,77.52651,82.04608,72.31956,191000000000.0,3.397282504
New Zealand,North America and ANZ,2018,7.324,1759.0,76.91154,82.2438,73.7179,198000000000.0,3.49949703
New Zealand,North America and ANZ,2019,7.307,1783.0,77.28596,81.90401,73.17552,202000000000.0,2.361962178
New Zealand,North America and ANZ,2020,7.299600124,1739.0,77.69618,81.5481,72.1472,202000000000.0,-0.424906458
New Zealand,North America and ANZ,2021,7.276599884,1730.0,77.13245,82.23549,73.46585,211000000000.0,4.546247639
New Zealand,North America and ANZ,2022,7.199800014,1748.0,79.11635,82.98428,75.42613,217000000000.0,2.774842648
New Zealand,North America and ANZ,2023,7.122900009,1751.0,80.38414,84.29285,76.44292,218000000000.0,0.733302172
Norway,Western Europe,2015,7.522,1427.0,74.87398,76.32457,73.35555,388000000000.0,1.857339726
Norway,Western Europe,2016,7.498,1430.0,74.42625,75.74641,73.06265,393000000000.0,1.164724235
Norway,Western Europe,2017,7.537000179,1419.0,74.22233,75.63575,72.75381,402000000000.0,2.463746285
Norway,Western Europe,2018,7.594,1419.0,74.97336,76.91328,72.95993,406000000000.0,0.828900664
Norway,Western Europe,2019,7.554,1419.0,75.78712,77.72426,73.7828,410000000000.0,1.123777874
Norway,Western Europe,2020,7.487999916,1410.0,75.7598,76.37759,72.73631,405000000000.0,-1.278171785
Norway,Western Europe,2021,7.392499924,1426.0,74.91257,77.89406,74.00565,421000000000.0,3.908686777
Norway,Western Europe,2022,7.365099907,1425.0,77.86867,80.22931,75.29509,433000000000.0,3.005635161
Norway,Western Europe,2023,7.315499783,1418.0,77.29603,79.09236,75.66293,436000000000.0,0.479647246
Poland,Central and Eastern Europe,2015,5.791,1829.0,61.79607,67.68424,55.91222,480000000000.0,4.431767003
Poland,Central and Eastern Europe,2016,5.835,1831.0,63.59327,69.63116,57.56076,495000000000.0,3.031177676
Poland,Central and Eastern Europe,2017,5.97300005,1812.0,65.49428,71.93531,59.05172,520000000000.0,5.152457733
Poland,Central and Eastern Europe,2018,6.123,1787.0,66.93487,73.01576,60.8389,553000000000.0,6.245858472
Poland,Central and Eastern Europe,2019,6.182,1783.0,68.13156,74.7208,61.49437,578000000000.0,4.580458173
Poland,Central and Eastern Europe,2020,6.186299801,1769.0,67.30775,74.41612,60.20282,566000000000.0,-2.035568824
Poland,Central and Eastern Europe,2021,6.166100025,1828.0,70.20072,76.57366,63.8085,605000000000.0,6.927182661
Poland,Central and Eastern Europe,2022,6.122799873,1815.0,71.51856,77.5263,65.48416,637000000000.0,5.255456974
Poland,Central and Eastern Europe,2023,6.259699821,1803.0,72.20357,77.85276,66.54214,638000000000.0,0.138832755
Portugal,Western Europe,2015,5.102,1732.0,63.45048,66.43887,60.65375,199000000000.0,1.589798289
Portugal,Western Europe,2016,5.123,1737.0,65.0994,67.90179,62.48026,203000000000.0,2.004141094
Portugal,Western Europe,2017,5.195000172,1727.0,68.30885,71.58123,65.24921,210000000000.0,3.314720782
Portugal,Western Europe,2018,5.41,1738.0,69.57001,72.72128,66.61544,216000000000.0,2.946282416
Portugal,Western Europe,2019,5.693,1744.0,70.21665,73.35728,67.28413,222000000000.0,2.745684716
Portugal,Western Europe,2020,5.910900116,1611.0,69.65241,71.9652,64.005,204000000000.0,-8.204632063
Portugal,Western Europe,2021,5.928999901,1649.0,68.13337,73.08173,67.10689,215000000000.0,5.558757523
Portugal,Western Europe,2022,6.016300201,1635.0,71.29549,73.77175,68.78197,230000000000.0,6.985841938
Portugal,Western Europe,2023,5.967999935,1631.0,71.82906,74.8322,70.1336,236000000000.0,2.526281108
Slovak Rep.,Central and Eastern Europe,2015,5.995,1754.0,64.7396,69.79576,60.09438,89178548710.0,5.17687951
Slovak Rep.,Central and Eastern Europe,2016,6.078,1740.0,66.98424,71.286,62.68893,90915585450.0,1.947819026
Slovak Rep.,Central and Eastern Europe,2017,6.09800005,1714.0,68.27409,71.81115,64.7906,93529165110.0,2.874732255
Slovak Rep.,Central and Eastern Europe,2018,6.173,1704.0,69.80528,73.81022,65.55681,97328432380.0,4.06212037
