Country name,Regional indicator,year,Ladder score,worked hour,Total,Male,Female,GDP,GDP Growth (%),Gender wage gap
Czechia,Central and Eastern Europe,2016,6.596,1774,72.06246,79.46407,64.4304,1.94E+11,2.580870147,16.02343084
Czechia,Central and Eastern Europe,2017,6.609000206,1776,73.97821,81.14211,66.57561,2.04E+11,5.173565288,15.61401089
Czechia,Central and Eastern Europe,2018,6.711,1785,74.85415,81.70233,67.74923,2.1E+11,2.830305894,15.12741386
Czechia,Central and Eastern Europe,2019,6.852,1786,75.07317,81.8017,68.06722,2.17E+11,3.565776572,14.71433226
Czechia,Central and Eastern Europe,2020,6.910900116,1677,75.07014,81.18697,67.01408,2.06E+11,-5.304879546,12.37286209
Czechia,Central and Eastern Europe,2021,6.964700222,1722,73.96281,81.07517,66.3326,2.14E+11,4.029018306,11.51874831
Czechia,Central and Eastern Europe,2022,6.919799805,1774,75.40691,82.27009,68.28403,2.2E+11,2.847170657,13.57571214
Czechia,Central and Eastern Europe,2023,6.845200062,1766,74.86558,81.82698,68.40552,2.2E+11,-0.085330276,13.17041983
Denmark,Western Europe,2015,7.527,1407,72.27721,74.77542,68.56751,3.02E+11,2.104414587,5.836048112
Denmark,Western Europe,2016,7.526,1412,73.04344,75.05328,69.62012,3.11E+11,3.073045475,5.732628037
Denmark,Western Europe,2017,7.521999836,1404,73.75684,75.47256,70.58987,3.21E+11,3.056477244,5.296691966
Denmark,Western Europe,2018,7.555,1381,74.46851,76.26137,71.12881,3.27E+11,1.860007489,4.863206011
Denmark,Western Europe,2019,7.6,1371,75.25506,77.70578,72.05048,3.32E+11,1.711400944,5.059215628
Denmark,Western Europe,2020,7.645599842,1341,74.99429,77.26498,71.03608,3.26E+11,-1.780105988,4.994399738
Denmark,Western Europe,2021,7.61950016,1390,74.04363,78.35817,72.92966,3.5E+11,7.38206629,5.576082634
Denmark,Western Europe,2022,7.636199951,1394,76.39496,79.32178,74.69872,3.56E+11,1.540173107,5.837088593
Denmark,Western Europe,2023,7.586400032,1380,76.73296,78.7598,74.03636,3.65E+11,2.495184331,
Estonia,Central and Eastern Europe,2015,5.429,1763,73.19204,76.29252,70.22407,23311847750,1.838157048,
Estonia,Central and Eastern Europe,2016,5.517,1767,72.87132,76.3543,69.53488,24032886890,3.093015834,
Estonia,Central and Eastern Europe,2017,5.611000061,1768,74.1309,76.42003,71.8985,25387061790,5.634674322,
Estonia,Central and Eastern Europe,2018,5.739,1707,74.20325,76.36031,72.06995,26326305510,3.69969444,22.68115942
Estonia,Central and Eastern Europe,2019,5.893,1694,75.71202,78.36185,73.0897,27307395610,3.726653182,23.16745819
Estonia,Central and Eastern Europe,2020,6.021800041,1637,72.1944,74.46537,69.89503,26519902190,-2.883810041,19.60214714
Estonia,Central and Eastern Europe,2021,6.188799858,1767,72.88433,75.28115,70.46931,28417254670,7.154447483,20.42897943
Estonia,Central and Eastern Europe,2022,6.340799809,1770,76.16721,76.91199,75.41063,28434426600,0.060427832,21.42459655
Estonia,Central and Eastern Europe,2023,6.455200195,1742,76.52719,77.42867,75.63025,27574843690,-3.023035841,
Finland,Western Europe,2015,7.406,1556,67.76099,68.46046,67.05031,2.33E+11,0.466503518,18.05598132
Finland,Western Europe,2016,7.413,1555,68.37727,69.5849,67.14606,2.39E+11,2.571934232,16.47225837
Finland,Western Europe,2017,7.468999863,1549,69.0855,70.76922,67.36567,2.47E+11,3.303370161,17.71792064
Finland,Western Europe,2018,7.632,1547,71.39706,73.01691,69.74459,2.5E+11,1.19297773,18.85520372
Finland,Western Europe,2019,7.769,1537,72.12466,73.57112,70.6444,2.53E+11,1.349738438,17.15982964
